dauid,Emp_fulltime,Emp_notemp,stu_notstudent,stu_fulltime,person_n,hhld_size,hhld_vehicles,person_age,drivelic_NO,drivelic_YES,TPass_No,person_N_trips
35200516,177.25,18.69,229.45,0,302.42,2.090180993,1.044712115,42.69671318,44.7,257.72,257.98,2.788109252
35200517,196.02,16.09,200.33,7.03,233.2,1.80007719,1.00270166,45.24009434,39.9,177.69,128.35,2.856903945
35200518,485.48,26.57,620.04,0,784.01,1.843606116,0.4434454,44.25498399,274.23,509.78,513.87,1.908738409
35200519,81,0,81,0,81,2.422675934,0.9285404,42.9417284,8.51,72.49,47.17,3.902592593
35200520,150.08,33.36,210.42,0,218.56,2.962114623,1.475596791,44.65350476,22.84,195.72,194.24,2.572199854
35200521,102.22,139.6,268.01,0,447.72,2.1400331,0.619161456,48.09155276,165.62,282.1,368.66,1.721187349
35200522,168.31,44.06,231.87,11.66,285.56,1.837873216,1.125225955,44.19029276,62.94,222.62,285.56,2.373091469
35200523,252.84,33.76,288.29,49.85,399.17,2.678116406,1.351798844,43.72796052,21.63,377.54,299.67,2.236540822
35200524,169.67,64.34,260.73,22.23,724,1.86617177,0.660274255,62.40769337,338.09,385.91,568.73,1.083950276
35200525,220.82,134.19,350.22,27.99,581.17,2.672380787,1.410720501,49.70543903,0,581.17,376.21,2.941548944
35200529,126.81,167.83,272.35,61.07,560.83,2.022268398,0.953316017,55.28245636,225.93,308.57,436.48,1.691492966
35200531,254.96,48.44,349.2,0,454.52,2.55247725,1.520728008,42.80843527,76.68,377.84,412.15,3.482223004
35200532,142.77,76.51,200.3,18.98,353.41,2.165320409,1.121217017,57.83908209,58.44,285.44,288.13,2.223111966
35200533,24.88,0,24.88,0,78.46,2.753710997,1.742502272,55.13408106,12.44,66.02,69.96,1.850879429
35200534,170.31,240.71,432.67,0,552.1,3.036416266,1.45132826,36.86027893,136.54,415.56,518.8,2.113367144
35200535,187.57,55.11,273.71,11.03,353.16,2.700025694,1.287063207,38.51039189,110.48,242.68,239.58,3.122324159
35200536,309.18,103.7,417.62,0,568.3,1.763635817,0.782217812,49.84451874,95.03,455.32,377.28,2.743832483
35200538,595.13,153.7,950.34,128.02,1844.6,2.708803103,1.088806857,44.86907731,536.01,1280.95,1625.13,1.773988941
35200539,109.9,103.56,185.15,56.62,276.04,3.02552183,0.633944034,45.97529344,106.92,169.12,87.9,1.082922765
35200540,66.52,102.18,168.7,28.54,269.43,2.386241691,1.110835269,41.96882307,116.36,153.07,203.84,2.681735516
35200541,404.29,416.68,669.39,193.69,1122.33,2.706462189,0.936668429,43.29992961,401.48,720.85,718.44,1.763919703
35200542,314.42,140.58,534.23,11.81,627.71,3.502584416,1.534901696,43.62003154,258.04,369.67,511.28,1.912316197
35200561,217.03,88.24,322.78,42,402.13,2.544912392,1.365896137,43.16929849,47.86,354.27,264.27,2.57342153
35200562,195.16,22.17,175.57,0,395.3,1.980812739,0.724678037,46.26817607,140.38,222.27,237.58,2.618492284
35200563,145.92,0,182.26,0,289.08,3.33822992,1.160856537,40.59855403,69.12,219.96,259.38,3.654939809
35200564,230.78,103.05,352.16,0,473.51,3.613722906,2.092999414,46.22770374,162.46,311.05,368.54,1.875694283
35200565,34.68,14.94,111.72,0,232.48,2.385920926,1.299421408,51.81834997,45.99,186.49,212.74,1.48193393
35200566,136.27,15.29,165.59,30.89,349.48,3.333142585,2.028612303,52.67686277,44.13,272.91,305.35,2.241186906
35200567,296.18,49.52,357.73,31.57,505.99,2.778749058,1.254307963,45.6383723,165.57,317.38,402.15,2.690665823
35200568,185.04,92.54,340.04,0,442.92,2.258312252,1.238028551,50.26178542,107.59,335.33,392.99,2.715885487
35200569,124.11,47.85,210.48,19.69,333.09,1.94557315,0.623792451,53.33801675,77.4,212.73,262.32,2.221261521
35200570,375.11,160.39,530.59,63.4,643.79,2.094114638,1.203030594,48.15082558,221.8,421.99,403.79,3.434458441
